is_start,is_end,oos_start,oos_end,channel_length,stop_pct,is_return_over_drawdown,is_net_profit,is_worst_drawdown,oos_net_profit,oos_worst_drawdown,oos_trade_count,oos_return_over_drawdown,oos_sharpe_like,window_number
2017-12-18 00:35:00,2021-12-18 00:35:00,2021-12-18 00:35:00,2022-03-18 00:35:00,500,0.005,,0.0,0.0,94571.87500000288,-6348.124999999753,230.0,14.897607561288817,0.03028116566642126,1
2018-03-18 00:35:00,2022-03-18 00:35:00,2022-03-18 00:35:00,2022-06-18 00:35:00,500,0.005,64.51919377096539,800659.0000000164,-12409.625,55268.12500000264,-6815.3749999997235,229.0,8.109330007520478,0.021328417831991246,2
2018-06-18 00:35:00,2022-06-18 00:35:00,2022-06-18 00:35:00,2022-09-18 00:35:00,500,0.005,67.31651842823767,835372.750000019,-12409.625,33015.375000001004,-4201.374999999942,220.0,7.858230936300964,0.022196675089374,3
2018-09-18 00:35:00,2022-09-18 00:35:00,2022-09-18 00:35:00,2022-12-18 00:35:00,500,0.005,68.64530555919453,851862.5000000193,-12409.625,32389.87500000061,-13625.0,127.0,2.3772385321101366,0.012887985079606866,4
2018-12-18 00:35:00,2022-12-18 00:35:00,2022-12-18 00:35:00,2023-03-18 00:35:00,500,0.005,63.983614678900544,871776.7500000199,-13625.0,45979.50000000064,-3005.0000000000146,168.0,15.300998336106629,0.028545838268281897,5
2019-03-18 00:35:00,2023-03-18 00:35:00,2023-03-18 00:35:00,2023-06-18 00:35:00,500,0.005,66.9341743119281,911978.1250000204,-13625.0,43936.87500000108,-2913.8750000000146,130.0,15.078503710694816,0.026717727366435323,6
2019-06-18 00:35:00,2023-06-18 00:35:00,2023-06-18 00:35:00,2023-09-18 00:35:00,500,0.005,68.0533853211025,927227.3750000215,-13625.0,24635.25000000096,-4564.624999999898,133.0,5.396993181258375,0.016005183709401113,7
2019-09-18 00:35:00,2023-09-18 00:35:00,2023-09-18 00:35:00,2023-12-18 00:35:00,500,0.005,67.1869266055062,915421.875000022,-13625.0,39836.00000000086,-6207.3749999998545,150.0,6.417527537808138,0.01695647035180191,8
2019-12-18 00:35:00,2023-12-18 00:35:00,2023-12-18 00:35:00,2024-03-18 00:35:00,500,0.005,67.91663302752457,925364.1250000222,-13625.0,75125.75000000135,-18143.874999999884,184.0,4.140557075046088,0.021893328656520106,9
2020-03-18 00:35:00,2024-03-18 00:35:00,2024-03-18 00:35:00,2024-06-18 00:35:00,500,0.005,54.18596496062848,983143.375000023,-18143.875,28922.125000004162,-17281.249999999098,215.0,1.673613019891829,0.007562515967399621,10
2020-06-18 00:35:00,2024-06-18 00:35:00,2024-06-18 00:35:00,2024-09-18 00:35:00,500,0.005,33.699934135118305,984931.1250000272,-29226.499999999767,89740.25000000375,-12433.749999999898,191.0,7.21747260480583,0.019470629911666995,11
2020-09-18 00:35:00,2024-09-18 00:35:00,2024-09-18 00:35:00,2024-12-18 00:35:00,500,0.005,36.42721930439975,1064640.1250000307,-29226.499999999767,69023.00000000268,-22079.375,211.0,3.1261301554053356,0.013679424069750685,12
2020-12-18 00:35:00,2024-12-18 00:35:00,2024-12-18 00:35:00,2025-03-18 00:35:00,500,0.005,37.663717003405715,1100778.6250000328,-29226.499999999884,132670.1250000055,-12718.499999999549,188.0,10.431271376342352,0.016685480280124215,13
2021-03-18 00:35:00,2025-03-18 00:35:00,2025-03-18 00:35:00,2025-06-18 00:35:00,500,0.005,37.281037756831836,1089594.250000037,-29226.499999999767,88268.5000000029,-17817.874999999476,145.0,4.953929691391678,0.017951056064790548,14
2021-06-18 00:35:00,2025-06-18 00:35:00,2025-06-18 00:35:00,2025-09-18 00:35:00,500,0.005,35.636566985442805,1041532.1250000357,-29226.499999999767,-28979.124999995256,-80485.62499999627,144.0,-0.36005342568932774,-0.0056306246297360765,15
2021-09-18 00:35:00,2025-09-18 00:35:00,2025-09-18 00:35:00,2025-12-18 00:35:00,500,0.005,11.39748091662438,917333.3750000383,-80485.62499999581,171585.62500000568,-16482.374999999665,159.0,10.410248826398451,0.030079719359650835,16
2021-12-18 00:35:00,2025-12-18 00:35:00,2025-12-18 00:35:00,2026-03-18 00:35:00,500,0.005,11.91613301708285,995989.1250000416,-83583.24999999593,97293.125000004,-16342.124999999724,175.0,5.953517366927842,0.018492960031522957,17
