horizon_bars,horizon_label,horizon_minutes,n_push_response_pairs,response_curve_slope,signed_conditional_response,pr_signal
1,5 min,5,584590,-0.025925346784392934,-0.012855669936747591,mean-reverting
2,10 min,10,292325,-0.028352545144005824,-0.015146853953791561,mean-reverting
3,15 min,15,194857,-0.03907598715050247,-0.018100121547376263,mean-reverting
6,30 min,30,97424,-0.016738250230706377,-0.010006055944978312,mean-reverting
12,1.0 hr,60,48715,-0.008688549918094481,-0.0028961054421081855,no clear
24,2.0 hr,120,24357,0.01949756681560748,0.009915459402804434,trend-following
48,4.0 hr,240,12175,0.0033557581033872024,0.004439461595368443,no clear
96,8.0 hr,480,6087,0.002707621995820365,0.010178230016204515,no clear
192,16.0 hr,960,3042,0.020250960138584084,0.013377741041386918,trend-following
