datetime,rolling_sharpe
2021-11-19 15:20:00,
2021-11-19 15:25:00,
2021-11-19 15:30:00,
2021-11-19 15:35:00,
2021-11-19 15:40:00,
2021-11-19 15:45:00,
2021-11-19 15:50:00,
2021-11-19 15:55:00,
2021-11-19 16:00:00,
2021-11-21 17:05:00,
2021-11-21 17:10:00,
2021-11-21 17:15:00,
2021-11-21 17:20:00,
2021-11-21 17:25:00,
2021-11-21 17:30:00,
2021-11-21 17:35:00,
2021-11-21 17:40:00,
2021-11-21 17:45:00,
2021-11-21 17:50:00,
2021-11-21 17:55:00,
2021-11-21 18:00:00,
2021-11-21 18:05:00,
2021-11-21 18:10:00,
2021-11-21 18:15:00,
2021-11-21 18:20:00,
2021-11-21 18:25:00,
2021-11-21 18:30:00,
2021-11-21 18:35:00,
2021-11-21 18:40:00,
2021-11-21 18:45:00,
2021-11-21 18:50:00,
2021-11-21 18:55:00,
2021-11-21 19:00:00,
2021-11-21 19:05:00,
2021-11-21 19:10:00,
2021-11-21 19:15:00,
2021-11-21 19:20:00,
2021-11-21 19:25:00,
2021-11-21 19:30:00,
2021-11-21 19:35:00,
2021-11-21 19:40:00,
2021-11-21 19:45:00,
2021-11-21 19:50:00,
2021-11-21 19:55:00,
2021-11-21 20:00:00,
2021-11-21 20:05:00,
2021-11-21 20:10:00,
2021-11-21 20:15:00,
2021-11-21 20:20:00,
2021-11-21 20:25:00,
2021-11-21 20:30:00,
2021-11-21 20:35:00,
2021-11-21 20:40:00,
2021-11-21 20:45:00,
2021-11-21 20:50:00,
2021-11-21 20:55:00,
2021-11-21 21:00:00,
2021-11-21 21:05:00,
2021-11-21 21:10:00,
2021-11-21 21:15:00,
2021-11-21 21:20:00,
2021-11-21 21:25:00,
2021-11-21 21:30:00,
2021-11-21 21:35:00,
2021-11-21 21:40:00,
2021-11-21 21:45:00,
2021-11-21 21:50:00,
2021-11-21 21:55:00,
2021-11-21 22:00:00,
2021-11-21 22:05:00,
2021-11-21 22:10:00,
2021-11-21 22:15:00,
2021-11-21 22:20:00,
2021-11-21 22:25:00,
2021-11-21 22:30:00,
2021-11-21 22:35:00,
2021-11-21 22:40:00,
2021-11-21 22:45:00,
2021-11-21 22:50:00,
2021-11-21 22:55:00,
2021-11-21 23:00:00,
2021-11-21 23:05:00,
2021-11-21 23:10:00,
2021-11-21 23:15:00,
2021-11-21 23:20:00,
2021-11-21 23:25:00,
2021-11-21 23:30:00,
2021-11-21 23:35:00,
2021-11-21 23:40:00,
2021-11-21 23:45:00,
2021-11-21 23:50:00,
2021-11-21 23:55:00,
2021-11-22 00:00:00,
2021-11-22 00:05:00,
2021-11-22 00:10:00,
