datetime,equity,drawdown
1988-09-21 10:40:00,100000.0,0.0
1988-09-21 10:45:00,100000.0,0.0
1988-09-21 10:50:00,100000.0,0.0
1988-09-21 10:55:00,100000.0,0.0
1988-09-21 11:00:00,100000.0,0.0
1988-09-21 11:05:00,100000.0,0.0
1988-09-21 11:10:00,100000.0,0.0
1988-09-21 11:15:00,100000.0,0.0
1988-09-21 11:20:00,100000.0,0.0
1988-09-21 11:25:00,100000.0,0.0
1988-09-21 11:30:00,100000.0,0.0
1988-09-21 11:35:00,100000.0,0.0
1988-09-21 11:40:00,100000.0,0.0
1988-09-21 11:45:00,100000.0,0.0
1988-09-21 11:50:00,100000.0,0.0
1988-09-21 11:55:00,100000.0,0.0
1988-09-21 12:00:00,100000.0,0.0
1988-09-21 12:05:00,100000.0,0.0
1988-09-21 12:10:00,100000.0,0.0
1988-09-21 12:15:00,100000.0,0.0
1988-09-21 12:20:00,100000.0,0.0
1988-09-21 12:25:00,100000.0,0.0
1988-09-21 12:30:00,100000.0,0.0
1988-09-21 12:35:00,100000.0,0.0
1988-09-21 12:40:00,100000.0,0.0
1988-09-21 12:45:00,100000.0,0.0
1988-09-21 12:50:00,100000.0,0.0
1988-09-21 12:55:00,100000.0,0.0
1988-09-21 13:00:00,100000.0,0.0
1988-09-21 13:05:00,100000.0,0.0
1988-09-21 13:10:00,100000.0,0.0
1988-09-21 13:15:00,100000.0,0.0
1988-09-21 13:20:00,100000.0,0.0
1988-09-21 13:25:00,100000.0,0.0
1988-09-21 13:30:00,100000.0,0.0
1988-09-21 13:35:00,100000.0,0.0
1988-09-21 13:40:00,100000.0,0.0
1988-09-21 13:45:00,100000.0,0.0
1988-09-21 13:50:00,100000.0,0.0
1988-09-21 13:55:00,100000.0,0.0
1988-09-21 14:00:00,100000.0,0.0
1988-09-21 14:05:00,100000.0,0.0
1988-09-21 14:10:00,100000.0,0.0
1988-09-21 14:15:00,100000.0,0.0
1988-09-21 14:20:00,100000.0,0.0
1988-09-21 14:25:00,100000.0,0.0
1988-09-21 14:30:00,100000.0,0.0
1988-09-22 09:55:00,100000.0,0.0
1988-09-22 10:00:00,100000.0,0.0
1988-09-22 10:05:00,100000.0,0.0
1988-09-22 10:10:00,100000.0,0.0
1988-09-22 10:15:00,100000.0,0.0
1988-09-22 10:20:00,100000.0,0.0
1988-09-22 10:25:00,100000.0,0.0
1988-09-22 10:30:00,100000.0,0.0
1988-09-22 10:35:00,100000.0,0.0
1988-09-22 10:40:00,100000.0,0.0
1988-09-22 10:45:00,100000.0,0.0
1988-09-22 10:50:00,100000.0,0.0
1988-09-22 10:55:00,100000.0,0.0
1988-09-22 11:00:00,100000.0,0.0
1988-09-22 11:05:00,100000.0,0.0
1988-09-22 11:10:00,100000.0,0.0
1988-09-22 11:15:00,100000.0,0.0
1988-09-22 11:20:00,100000.0,0.0
1988-09-22 11:25:00,100000.0,0.0
1988-09-22 11:30:00,100000.0,0.0
1988-09-22 11:35:00,100000.0,0.0
1988-09-22 11:40:00,100000.0,0.0
1988-09-22 11:45:00,100000.0,0.0
1988-09-22 11:50:00,100000.0,0.0
1988-09-22 11:55:00,100000.0,0.0
1988-09-22 12:00:00,100000.0,0.0
1988-09-22 12:05:00,100000.0,0.0
1988-09-22 12:10:00,100000.0,0.0
1988-09-22 12:15:00,100000.0,0.0
1988-09-22 12:20:00,100000.0,0.0
1988-09-22 12:25:00,100000.0,0.0
1988-09-22 12:30:00,100000.0,0.0
1988-09-22 12:35:00,100000.0,0.0
1988-09-22 12:40:00,100000.0,0.0
1988-09-22 12:45:00,100000.0,0.0
1988-09-22 12:50:00,100000.0,0.0
1988-09-22 12:55:00,100000.0,0.0
1988-09-22 13:00:00,100000.0,0.0
1988-09-22 13:05:00,100000.0,0.0
1988-09-22 13:10:00,100000.0,0.0
1988-09-22 13:15:00,100000.0,0.0
1988-09-22 13:20:00,100000.0,0.0
1988-09-22 13:25:00,100000.0,0.0
1988-09-22 13:30:00,100000.0,0.0
1988-09-22 13:35:00,100000.0,0.0
1988-09-22 13:40:00,100000.0,0.0
1988-09-22 13:45:00,100000.0,0.0
1988-09-22 13:50:00,100000.0,0.0
1988-09-22 13:55:00,100000.0,0.0
1988-09-22 14:00:00,100000.0,0.0
1988-09-22 14:05:00,100000.0,0.0
1988-09-22 14:10:00,100000.0,0.0
1988-09-22 14:15:00,100000.0,0.0
1988-09-22 14:20:00,100000.0,0.0
1988-09-22 14:25:00,100000.0,0.0
1988-09-22 14:30:00,100000.0,0.0
1988-09-23 09:55:00,100000.0,0.0
1988-09-23 10:00:00,100000.0,0.0
1988-09-23 10:05:00,100000.0,0.0
1988-09-23 10:10:00,100000.0,0.0
1988-09-23 10:15:00,100000.0,0.0
1988-09-23 10:20:00,100000.0,0.0
