datetime,equity,drawdown
2007-07-23 17:35:00,100000.0,0.0
2007-07-23 17:40:00,100000.0,0.0
2007-07-23 17:45:00,100000.0,0.0
2007-07-23 17:50:00,100000.0,0.0
2007-07-23 17:55:00,100000.0,0.0
2007-07-23 18:00:00,100000.0,0.0
2007-07-23 18:05:00,100000.0,0.0
2007-07-23 18:10:00,100000.0,0.0
2007-07-23 18:15:00,100000.0,0.0
2007-07-23 18:20:00,100000.0,0.0
2007-07-23 18:25:00,100000.0,0.0
2007-07-23 18:30:00,100000.0,0.0
2007-07-23 18:35:00,100000.0,0.0
2007-07-23 18:40:00,100000.0,0.0
2007-07-23 18:45:00,100000.0,0.0
2007-07-23 18:50:00,100000.0,0.0
2007-07-23 18:55:00,100000.0,0.0
2007-07-23 19:00:00,100000.0,0.0
2007-07-23 19:05:00,100000.0,0.0
2007-07-23 19:10:00,100000.0,0.0
2007-07-23 19:15:00,100000.0,0.0
2007-07-23 19:20:00,100000.0,0.0
2007-07-23 19:25:00,100000.0,0.0
2007-07-23 19:30:00,100000.0,0.0
2007-07-24 14:05:00,100000.0,0.0
2007-07-24 14:10:00,100000.0,0.0
2007-07-24 14:15:00,100000.0,0.0
2007-07-24 14:20:00,100000.0,0.0
2007-07-24 14:25:00,100000.0,0.0
2007-07-24 14:30:00,100000.0,0.0
2007-07-24 14:35:00,100000.0,0.0
2007-07-24 14:40:00,100000.0,0.0
2007-07-24 14:45:00,100070.0,0.0
2007-07-24 14:50:00,99790.0,-280.0
2007-07-24 14:55:00,99780.00000000001,-289.99999999998545
2007-07-24 15:00:00,99830.00000000001,-239.99999999998545
2007-07-24 15:05:00,99750.00000000001,-319.99999999998545
2007-07-24 15:10:00,99690.00000000001,-379.99999999998545
2007-07-24 15:15:00,99680.00000000001,-389.99999999998545
2007-07-24 15:20:00,99760.00000000001,-309.99999999998545
2007-07-24 15:25:00,99800.00000000001,-269.99999999998545
2007-07-24 15:30:00,99860.00000000001,-209.99999999998545
2007-07-24 15:35:00,99930.00000000001,-139.99999999998545
2007-07-24 15:40:00,99950.00000000001,-119.99999999998545
2007-07-24 15:45:00,99930.00000000001,-139.99999999998545
2007-07-24 15:50:00,99880.00000000001,-189.99999999998545
2007-07-24 15:55:00,99770.00000000001,-299.99999999998545
2007-07-24 16:00:00,99740.00000000001,-329.99999999998545
2007-07-24 16:05:00,99740.00000000001,-329.99999999998545
2007-07-24 16:10:00,99610.00000000001,-459.99999999998545
2007-07-24 16:15:00,99630.00000000001,-439.99999999998545
