is_start,is_end,oos_start,oos_end,channel_length,stop_pct,is_return_over_drawdown,is_net_profit,is_worst_drawdown,oos_net_profit,oos_worst_drawdown,oos_trade_count,oos_return_over_drawdown,oos_sharpe_like,window_number
2003-08-01 14:05:00,2007-08-01 14:05:00,2007-08-01 14:05:00,2007-11-01 14:05:00,500,0.005,,0.0,0.0,4741.950000000115,-2182.149999999965,54.0,2.1730632632954614,0.01979372028775151,1
2003-11-01 14:05:00,2007-11-01 14:05:00,2007-11-01 14:05:00,2008-02-01 14:05:00,500,0.005,5.12482634998981,22872.10000000199,-4462.999999999505,501.75000000025807,-3464.4499999999825,55.0,0.1448281834058106,0.0018726195204933223,2
2004-02-01 14:05:00,2008-02-01 14:05:00,2008-02-01 14:05:00,2008-05-01 14:05:00,500,0.005,5.2244006273817565,23316.500000002194,-4462.999999999505,3082.2000000000603,-2608.0,48.5,1.1818251533742563,0.010563724456685221,3
2004-05-01 14:05:00,2008-05-01 14:05:00,2008-05-01 14:05:00,2008-08-01 14:05:00,500,0.005,6.106206587498389,27252.0000000022,-4462.999999999491,3455.25000000035,-4677.7999999997555,71.5,0.738648509983439,0.00880542064591812,4
2004-08-01 14:05:00,2008-08-01 14:05:00,2008-08-01 14:05:00,2008-11-01 14:05:00,500,0.005,6.677049040147936,31233.90000000248,-4677.79999999977,15464.600000000863,-3439.2499999999127,110.0,4.49650359816857,0.0252566289692934,5
2004-11-01 14:05:00,2008-11-01 14:05:00,2008-11-01 14:05:00,2009-02-01 14:05:00,500,0.005,8.088805661091998,44922.800000003306,-5553.69999999959,10084.800000000387,-1841.249999999869,84.0,5.477148676171679,0.028243152386808447,6
2005-02-01 14:05:00,2009-02-01 14:05:00,2009-02-01 14:05:00,2009-05-01 14:05:00,500,0.005,8.995561517548134,49958.650000003516,-5553.699999999604,2381.1000000001086,-2325.4499999999243,62.0,1.0239308520932233,0.013120331049009037,7
2005-05-01 14:05:00,2009-05-01 14:05:00,2009-05-01 14:05:00,2009-08-01 14:05:00,500,0.005,8.769000846283925,48700.40000000357,-5553.699999999604,4181.8000000001675,-2826.2499999999563,91.5,1.4796284829722184,0.013124656852419052,8
2005-08-01 14:05:00,2009-08-01 14:05:00,2009-08-01 14:05:00,2009-11-01 14:05:00,500,0.005,9.60195905432547,53326.40000000356,-5553.699999999604,2504.9500000002176,-3893.3499999998457,60.0,0.6433919375345953,0.01030095350977885,9
2005-11-01 14:05:00,2009-11-01 14:05:00,2009-11-01 14:05:00,2010-02-01 14:05:00,500,0.005,9.367547760953487,52024.55000000367,-5553.699999999604,663.250000000246,-2440.4499999999825,46.5,0.2717736483026699,0.0028423783218641595,10
2006-02-01 14:05:00,2010-02-01 14:05:00,2010-02-01 14:05:00,2010-05-01 14:05:00,500,0.005,9.22857734483454,51252.7500000038,-5553.69999999959,2596.400000000014,-1898.1500000000087,37.5,1.36785817769934,0.01218435584527973,11
2006-05-01 14:05:00,2010-05-01 14:05:00,2010-05-01 14:05:00,2010-08-01 14:05:00,500,0.005,9.379575778311265,52091.3500000037,-5553.699999999619,5931.800000000298,-3437.349999999962,57.0,1.7256898482843943,0.018677744242944397,12
2006-08-01 14:05:00,2010-08-01 14:05:00,2010-08-01 14:05:00,2010-11-01 14:05:00,500,0.005,10.500369123288593,58315.90000000386,-5553.699999999619,4323.150000000097,-3057.7999999999156,38.5,1.4138105827719982,0.016021512487927433,13
2006-11-01 14:05:00,2010-11-01 14:05:00,2010-11-01 14:05:00,2011-02-01 14:05:00,500,0.005,11.058807641753724,61417.300000003605,-5553.699999999633,5619.500000000074,-2317.6999999999825,39.0,2.4246019760970428,0.023765707452974634,14
2007-02-01 14:05:00,2011-02-01 14:05:00,2011-02-01 14:05:00,2011-05-01 14:05:00,500,0.005,12.099510236420416,67197.05000000345,-5553.699999999619,10707.850000000046,-2391.699999999968,36.0,4.477087427353008,0.030464865639906795,15
2007-05-01 14:05:00,2011-05-01 14:05:00,2011-05-01 14:05:00,2011-08-01 14:05:00,500,0.005,14.05890667483094,78078.95000000343,-5553.699999999633,10178.850000000264,-3107.1000000000495,45.0,3.275996910302244,0.024817255892736492,16
2007-08-01 14:05:00,2011-08-01 14:05:00,2011-08-01 14:05:00,2011-11-01 14:05:00,500,0.005,15.560653258189907,86419.20000000358,-5553.699999999633,1837.650000000393,-5607.250000000015,62.0,0.32772749565301856,0.0052467585997242865,17
2007-11-01 14:05:00,2011-11-01 14:05:00,2011-11-01 14:05:00,2012-02-01 14:05:00,500,0.005,14.894092469571257,83514.90000000386,-5607.250000000029,5200.900000000194,-2508.8999999999505,34.0,2.0729801905218608,0.023643831102303413,18
2008-02-01 14:05:00,2012-02-01 14:05:00,2012-02-01 14:05:00,2012-05-01 14:05:00,500,0.005,15.732141424049894,88214.05000000377,-5607.25,179.75000000015416,-4053.5499999998574,31.0,0.04434384675165237,0.0007453776298648818,19
2008-05-01 14:05:00,2012-05-01 14:05:00,2012-05-01 14:05:00,2012-08-01 14:05:00,500,0.005,15.214516920059543,85311.60000000388,-5607.25,16816.000000000324,-2154.549999999901,44.0,7.804878048780997,0.044344337151844174,20
2008-08-01 14:05:00,2012-08-01 14:05:00,2012-08-01 14:05:00,2012-11-01 14:05:00,500,0.005,17.59728030674642,98672.35000000386,-5607.25,2007.4000000002457,-3990.8499999998894,39.0,0.5030006139043816,0.007633212350782583,21
2008-11-01 14:05:00,2012-11-01 14:05:00,2012-11-01 14:05:00,2013-02-01 14:05:00,500,0.005,15.19731597485456,85215.15000000322,-5607.25,748.0000000000653,-2583.899999999965,25.5,0.2894848871860658,0.00316592888041558,22
2009-02-01 14:05:00,2013-02-01 14:05:00,2013-02-01 14:05:00,2013-05-01 14:05:00,500,0.005,13.532186009185057,75878.35000000292,-5607.25,3358.5500000003058,-3222.9499999998225,38.5,1.0420732558682235,0.013237377585088249,23
2009-05-01 14:05:00,2013-05-01 14:05:00,2013-05-01 14:05:00,2013-08-01 14:05:00,500,0.005,13.706504971243142,76855.8000000031,-5607.25,2971.9000000000597,-1670.0999999999913,22.0,1.7794742829771122,0.013992293183254057,24
2009-08-01 14:05:00,2013-08-01 14:05:00,2013-08-01 14:05:00,2013-11-01 14:05:00,2500,0.005,13.996356821327186,39954.70000000096,-2854.6499999999505,1202.1000000000513,-1903.7499999999854,12.0,0.6314379514117192,0.0066588062810426715,25
2009-11-01 14:05:00,2013-11-01 14:05:00,2013-11-01 14:05:00,2014-02-01 14:05:00,2500,0.005,14.028217119437304,40045.650000001006,-2854.6499999999505,-1111.299999999909,-2363.8999999999505,11.0,-0.4701129489402818,-0.008848576427505623,26
2010-02-01 14:05:00,2014-02-01 14:05:00,2014-02-01 14:05:00,2014-05-01 14:05:00,500,0.005,14.802701859200647,83002.45000000283,-5607.25,1902.3500000001352,-2203.1499999998923,20.5,0.8634682159636103,0.009952121317362193,27
2010-05-01 14:05:00,2014-05-01 14:05:00,2014-05-01 14:05:00,2014-08-01 14:05:00,500,0.005,14.67892460653671,82308.40000000296,-5607.25,8194.150000000083,-1618.6500000000087,18.0,5.062335897198307,0.03461198436987529,28
2010-08-01 14:05:00,2014-08-01 14:05:00,2014-08-01 14:05:00,2014-11-01 14:05:00,500,0.005,15.08239333006425,84570.75000000276,-5607.25,5000.900000000352,-1736.6499999998923,36.0,2.879624564535549,0.023667205687839844,29
