horizon_bars,horizon_minutes,beta,signed_response,pr_interpretation
1,5,-0.004048280270926473,-0.0014313408135226222,mean-reverting
3,15,0.0014716003718473203,-0.0003543325526932088,trend-following
6,30,0.0015017086530677835,0.001241237177785756,trend-following
12,60,-0.014483556777701074,0.002435673245066256,mean-reverting
24,120,-0.014114002797345992,-0.0028730247954530963,mean-reverting
48,240,0.007587688222547108,0.020177389131792636,trend-following
96,480,-0.01025466982822907,-0.01847326336831569,mean-reverting
